model_tier,model_id,source_folder,threshold,rows,accuracy,macro_f1,spam_precision,spam_recall,safe_precision,safe_recall,false_positive_rate,false_negative_rate,true_safe,true_spam,false_positives,false_negatives,pred_safe,pred_spam,parse_ok_rate,min_macro_f1_bar,min_spam_recall_bar,max_false_positive_rate_bar,clears_zero_shot_bar
E2B,google/gemma-4-E2B-it,personal_image_ham,0.20,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.21,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.22,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.23,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.24,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.25,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.26,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.27,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.28,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.29,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.30,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.31,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.32,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.33,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.34,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.35,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.36,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.37,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.38,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.39,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.40,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
E2B,google/gemma-4-E2B-it,personal_image_ham,0.41,200,0.45,0.310344827586,0,0,1,0.45,0.55,0,200,0,110,0,90,110,1,0.8,0.85,0.05,False
