model_tier,tau_low,tau_high,cost,policy_cost,policy_ok,false_negative,hard_false_positive,soft_false_positive,scam_missed_safe,scam_escalated_suspicious,scam_caught_scam,safe_passed_safe,safe_escalated_suspicious,safe_flagged_scam,scam_miss_rate,scam_capture_rate,hard_false_positive_rate,soft_false_positive_rate,suspicious_rate,decisive_rate,n
E4B,0.15,0.9,82.2,124.67499999999998,False,9,176,380,9,17,229,444,380,176,0.03529411764705882,0.9647058823529412,0.176,0.38,0.31633466135458166,0.6836653386454183,1255
E4B,0.3,0.45,82.6,82.6,False,11,324,68,11,0,244,608,68,324,0.043137254901960784,0.9568627450980393,0.324,0.068,0.054183266932270914,0.9458167330677291,1255
E4B,0.15,0.85,82.7,122.67499999999998,False,9,181,375,9,17,229,444,375,181,0.03529411764705882,0.9647058823529412,0.181,0.375,0.31235059760956174,0.6876494023904383,1255
E4B,0.25,0.45,82.7,82.7,False,11,324,69,11,0,244,607,69,324,0.043137254901960784,0.9568627450980393,0.324,0.069,0.0549800796812749,0.9450199203187251,1255
E4B,0.1,0.95,83.0,230.075,False,7,103,554,7,49,199,343,554,103,0.027450980392156862,0.9725490196078431,0.103,0.554,0.48047808764940236,0.5195219123505976,1255
E4B,0.35,0.4,83.00000000000001,83.00000000000001,False,11,358,4,11,0,244,638,4,358,0.043137254901960784,0.9568627450980393,0.358,0.004,0.0031872509960159364,0.9968127490039841,1255
E4B,0.2,0.75,83.80000000000001,104.42500000000001,False,9,202,344,9,10,236,454,344,202,0.03529411764705882,0.9647058823529412,0.202,0.344,0.28207171314741036,0.7179282868525897,1255
E4B,0.2,0.8,83.80000000000001,104.42500000000001,False,9,202,344,9,10,236,454,344,202,0.03529411764705882,0.9647058823529412,0.202,0.344,0.28207171314741036,0.7179282868525897,1255
E4B,0.15,0.75,84.80000000000001,110.42500000000001,False,9,202,354,9,10,236,444,354,202,0.03529411764705882,0.9647058823529412,0.202,0.354,0.2900398406374502,0.7099601593625497,1255
E4B,0.15,0.8,84.80000000000001,110.42500000000001,False,9,202,354,9,10,236,444,354,202,0.03529411764705882,0.9647058823529412,0.202,0.354,0.2900398406374502,0.7099601593625497,1255
E2B,0.05,0.1,85.1,335.77500000000003,False,7,110,561,7,231,17,329,561,110,0.027450980392156862,0.9725490196078431,0.11,0.561,0.6310756972111554,0.36892430278884464,1255
E4B,0.3,0.4,86.00000000000001,86.00000000000001,False,11,358,34,11,0,244,608,34,358,0.043137254901960784,0.9568627450980393,0.358,0.034,0.027091633466135457,0.9729083665338646,1255
E4B,0.25,0.4,86.10000000000001,86.10000000000001,False,11,358,35,11,0,244,607,35,358,0.043137254901960784,0.9568627450980393,0.358,0.035,0.027888446215139442,0.9721115537848606,1255
E4B,0.3,0.35,86.4,86.4,False,11,362,30,11,0,244,608,30,362,0.043137254901960784,0.9568627450980393,0.362,0.03,0.02390438247011952,0.9760956175298805,1255
E4B,0.25,0.35,86.5,86.5,False,11,362,31,11,0,244,607,31,362,0.043137254901960784,0.9568627450980393,0.362,0.031,0.024701195219123506,0.9752988047808765,1255
E4B,0.2,0.7,88.7,89.10000000000001,False,9,251,295,9,8,238,454,295,251,0.03529411764705882,0.9647058823529412,0.251,0.295,0.24143426294820716,0.7585657370517929,1255
E4B,0.2,0.65,88.9,89.30000000000001,False,9,253,293,9,8,238,454,293,253,0.03529411764705882,0.9647058823529412,0.253,0.293,0.2398406374501992,0.7601593625498008,1255
E4B,0.25,0.3,89.5,89.5,False,11,392,1,11,0,244,607,1,392,0.043137254901960784,0.9568627450980393,0.392,0.001,0.0007968127490039841,0.999203187250996,1255
E4B,0.15,0.7,89.7,90.10000000000001,False,9,251,305,9,8,238,444,305,251,0.03529411764705882,0.9647058823529412,0.251,0.305,0.24940239043824702,0.750597609561753,1255
